Time,Value,Setpoint
0,20.000000,0.000000
1,19.000000,0.000000
2,18.100000,0.000000
3,17.290000,0.000000
4,16.561000,0.000000
5,15.904900,0.000000
6,15.314410,0.000000
7,14.782969,0.000000
8,14.304672,0.000000
9,13.874205,0.000000
10,13.486784,0.000000
11,13.138106,0.000000
12,12.824295,0.000000
13,12.541866,0.000000
14,12.287679,0.000000
15,12.058911,0.000000
16,11.853020,0.000000
17,11.667718,0.000000
18,11.500946,0.000000
19,11.350852,0.000000
20,11.215767,0.000000
21,11.094190,0.000000
22,10.984771,0.000000
23,10.886294,0.000000
24,10.797664,0.000000
25,10.717898,0.000000
26,10.646108,0.000000
27,10.581497,0.000000
28,10.523348,0.000000
29,10.471013,0.000000
30,10.423912,0.000000
31,10.381520,0.000000
32,10.343368,0.000000
33,10.309032,0.000000
34,10.278128,0.000000
35,10.250316,0.000000
36,10.225284,0.000000
37,10.202756,0.000000
38,10.182480,0.000000
39,10.164232,0.000000
40,10.147809,0.000000
41,10.133028,0.000000
42,10.119725,0.000000
43,10.107753,0.000000
44,10.096977,0.000000
45,10.087280,0.000000
46,10.078552,0.000000
47,10.070697,0.000000
48,10.063627,0.000000
49,10.057264,0.000000
50,10.051538,0.000000
51,10.046384,0.000000
52,10.041746,0.000000
53,10.037571,0.000000
54,10.033814,0.000000
55,10.030433,0.000000
56,10.027389,0.000000
57,10.024650,0.000000
58,10.022185,0.000000
59,10.019967,0.000000
60,10.017970,0.000000
61,10.016173,0.000000
62,10.014556,0.000000
63,10.013100,0.000000
64,10.011790,0.000000
65,10.010611,0.000000
66,10.009550,0.000000
67,10.008595,0.000000
68,10.007736,0.000000
69,10.006962,0.000000
70,10.006266,0.000000
71,10.005639,0.000000
72,10.005075,0.000000
73,10.004568,0.000000
74,10.004111,0.000000
75,10.003700,0.000000
76,10.003330,0.000000
77,10.002997,0.000000
78,10.002697,0.000000
79,10.002427,0.000000
80,10.002185,0.000000
81,10.001966,0.000000
82,10.001770,0.000000
83,10.001593,0.000000
84,10.001433,0.000000
85,10.001290,0.000000
86,10.001161,0.000000
87,10.001045,0.000000
88,10.000940,0.000000
89,10.000846,0.000000
90,10.000762,0.000000
91,10.000686,0.000000
92,10.000617,0.000000
93,10.000555,0.000000
94,10.000500,0.000000
95,10.000450,0.000000
96,10.000405,0.000000
97,10.000364,0.000000
98,10.000328,0.000000
99,10.000295,0.000000
100,10.000266,0.000000
